N,date_full,wday,REGION_NAIMENOVANIE,NOMENKLATURA_EKTU_PODGRUPPA,NOMENKLATURNAYA_GRUPPA_NAIMENOVANIE,Сумма кол-во СТиУ,Сумма выручка
124,2023-08-14,1,Челябинская область,FOOD,Пиво,11.144672764999909,1403.6551344293914
125,2023-08-22,2,Мурманская область,NON-FOOD,Карты лояльности,42.96395138629807,12954.854793455332
126,2023-08-06,7,Орловская область,NON-FOOD,"Хозяйственные товары, персональный уход",27.03873627100832,5074.842448572276
127,2023-08-09,3,Республика Татарстан (Татарстан),NON-FOOD,"Автомобильные масла и смазки пластичные ""Газпром нефть"" (фасованные)",23.805202729494482,20595.04116360141
128,2023-09-01,5,Краснодарский край,FOOD,Спортивные напитки,8.66086537892441,707.1552145169
129,2023-08-28,1,Омская область,NON-FOOD,Автохимия наливная на ТРК,8.244382708589274,18386.621597831952
130,2023-08-24,4,Москва г,NON-FOOD,Автомобильные масла и смазки пластичные (фасованные),27.3743520779208,59669.32047544741
131,2023-09-24,7,Новгородская область,NON-FOOD,Уход за автомобилем,104.75785904536461,35649.34859573745
132,2023-09-30,6,Новосибирская область,FOOD,Вода,4620.306327592107,631090.8595202824
133,2023-10-05,4,Тульская область,NON-FOOD,СОЖ,24.583716480134953,12869.317905974762
134,2023-10-04,3,Краснодарский край,FOOD,Бакалея,167.47416332344025,19847.21670354925
135,2023-10-16,1,Владимирская область,NON-FOOD,Сезонные товары,32.302144878037,28555.299714638353
136,2023-10-18,3,Республика Мордовия,FOOD,Гастроном,23.31591618673695,4585.45728203559
137,2023-10-15,7,Владимирская область,NON-FOOD,"Хозяйственные товары, персональный уход",172.2573317484359,37110.10486165427
138,2021-01-04,1,Липецкая область,CAFÉ,Прочие напитки кафе,79.37825747087285,14914.084171308228
139,2021-02-16,2,Челябинская область,FOOD,Табачные изделия,7349.572908082093,1783861.4759357225
140,2021-02-16,2,Вологодская область,NON-FOOD,Карты лояльности,15.31063472289471,3391.26552006555
141,2021-01-22,5,Нижегородская область,NON-FOOD,Уход за автомобилем,143.28968731414167,41729.67317162724
142,2021-02-20,6,Ярославская область,FOOD,Энергетические напитки,690.5718267428736,140061.96880075394
143,2021-02-21,7,Ивановская область,FOOD,Соки и сокосодержащие напитки,125.00692965888662,17501.170310310576
144,2021-03-04,4,Республика Башкортостан,FOOD,Табачные изделия,156.52376882758085,36717.52854789861
145,2021-03-05,5,Томская область,NON-FOOD,СОЖ,163.98426643245273,110923.36425218992
146,2021-03-24,3,Курская область,FOOD,Соки и сокосодержащие напитки,12.32861746068588,1214.78839093089
147,2021-03-26,5,Республика Хакасия,CAFÉ,Общественное питание,199.15562927164066,44867.085972219065
